movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
1886,The Good Lie,2014,PG-13,110 minutes,"Drama, Mystery & Suspense",,,"Philippe Falardeau, Shawn Linden","Reese Witherspoon, Arnold Oceng, Ger Duany, Emmanuel Jal, Corey Stoll, Kuoth Wiel, Femi Oguns, Nyakouth Weil, Sarah Baker, Lindsey Garrett, Peterdeng Mongok, Okwar Jale, Thon Kueth, Deng Ajuet, Keji Jale, David Madingi, Kon Akoue Auok, Sibusisu Moyo, Antoine Wonder Kalambay, Elikana Jale, Afemo Omilami, Brian Kurlander, Jimi Kocina, Joshua Mikel, Mike Pniewski, Thad Luckinbill, Vince Pisani, Kim Banta, Travis Smith, Sharon Conley, Raj Kala, Parisa Johnston, Heather Lyda, Maria Howell, Clifton Guterman, Clifton Cluterman, Kenny Alfonso, Victor McCay, Jacob Kuol Alier, Berglind Jonsdottir, Dhan Kueth, Israel Sipho Matseke Zulu, Keith Woulard, John Prendergast, Tiffany Jones, Nat Ramabulana, Lavine Dimo, Julia Ayiol, Sope Aluko, Suehyla El-Attar, Abena Ayivor, Levi Burdick, Lele Ledwaba, Mari Malek, Flora Peter Deng","Margaret Nagle, Shawn Linden",87%,82%
1887,Touchy Feely,2013,R,90 minutes,Drama,,"$35,966",Lynn Shelton,"Rosemarie DeWitt, Josh Pais, Ellen Page, Scoot McNairy, Tomo Nakayama, Allison Janney, Ron Livingston, Amber Wolfe Wollam, Ethel R. Deans, Shannon Kipp, Khanh Doan, Alycia Delmore, Alexandra Gobeille, Daniel Malony, Hans Altwies, Sean Nelson, Amy Thone, Kate Bayley, Donald B. Deans, Sean Donavan, Ruth McRee",Lynn Shelton,35%,22%
1888,Rigor Mortis,2014,NR,105 minutes,Horror,,,Juno Mak,"Anthony Chan, Kara Wai, Kara Hui, Siu-hou Chin, Paw Hee Ching, Lo Hoi Pang, Hoi-Pang Lo, Richard Ng","Jill Leung, Philip Yung, Juno Mak",65%,57%
1889,God's Not Dead,2014,PG,113 minutes,"Comedy, Drama",,"$60,753,735",Harold Cronk,"Kevin Sorbo, Shane Harper, Dean Cain, David A.R. White, Willie Robertson, Korie Robertson, Paul Kwo, Benjamin A. Onyango Ochieng, Hadeel Sittu, Cory Oliver, Lisa Arnold, Lisa Hampton","Chuck Konzelman, Cary Solomon",15%,76%
1890,Ride Along 2,2016,PG-13,102 minutes,"Action & Adventure, Comedy",,,Tim Story,"Ice Cube, Kevin Hart, Tika Sumpter, Ken Jeong, Olivia Munn, Benjamin Bratt, Bruce McGill, Michael Edward Rose, Sherri Shepherd, Arturo Del Puerto, T.I., Eric Lee Goins, Carlos Gomez, Utkarsh Ambudkar, Glen Powell, Nadine Velazquez, Bresha Webb, Jessica Bialick, Michelle Pieroway, Shelby Courtney, James Martin Kelly, Robert Pralgo, Tyrese Gibson, Ricky Russert, Christopher Johnson, David Porras, Derek Carver, Shamea Morton, Jay Amor, Peter Parente, Rey Hernandez, Isabella Fleetwood, Rachel Faulkner, Elizabeth Godwin, Yolanda Adams, Jennifer Badger, Christina De Leon, Ana Ayora, Ace Marrero, Andrew Ortega, Junes B. Zahdi, Elizabeth Ramos, Jeremy Wayne Carley, Freddie Poole, Josh Diogo, Donny Carrington, Jabari Simba, Henry Kingi, Christopher Lennertz, Bruce Tanis","Greg Coolidge, Phil Hay, Matt Manfredi",13%,48%
1891,The Great Museum,2015,NR,94 minutes,"Documentary, Special Interest",,,Johannes Holzhausen,,,64%,37%
1892,The Hobbit: The Battle of the Five Armies,2014,R,163 minutes,"Action & Adventure, Science Fiction & Fantasy",,"$187,747,747",Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Ian Holm, Elijah Wood, Cate Blanchett, John Callen, Stephen Hunter, Mark Hadlow, Andy Serkis, Peter Hambleton, James Nesbitt, Adam Brown, Aidan Turner, Graham McTavish, Bret McKenzie, Dean O'Gorman, Lee Pace, Stephen Fry, Orlando Bloom, Luke Evans, Evangeline Lilly, Barry Humphries, Benedict Cumberbatch, Ken Stott, William Kircher, Jed Brophy, Hugo Weaving, Christopher Lee, Mikael Persbrandt, Ryan Gage, John Bell, Peggy Nesbitt, Mary Nesbitt, Manu Bennett, John Tui, Billy Connolly, Mark Mitchinson, Kelly Kilgour, Sarah Peirse, Nick Blake, Simon London, Conan Stevens, Dane Allan Smith, Miranda Harcourt, Thomasin McKenzie, Erin Banks, Brian Hotter, Timothy Bartlett, Merv Smith, Martin Kwok, Dee Bradley Baker, Olof Johnsson, Otep Shamaya, Debra Wilson, Sylvester McCoy","Philippa Boyens, Guillermo del Toro, Fran Walsh",59%,75%
1893,Young Ones,2014,R,90 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",,,Jake Paltrow,"Michael Shannon, Nicholas Hoult, Elle Fanning, Kodi Smit-McPhee, Aimee Mullins, Alex McGregor, Andy McPhee, Liah O'Prey, Robert Hobbs (II), David Butler (I), Christy Pankhurst, David Clatworthy, Carel Nel",Jake Paltrow,48%,33%
1894,The Way Way Back,2013,PG-13,103 minutes,"Comedy, Drama",,"$21,501,098","Jim Rash, Nat Faxon","Steve Carell, Toni Collette, Allison Janney, Liam James, Sam Rockwell, Zoe Levin, Maya Rudolph, Amanda Peet, AnnaSophia Robb, Rob Corddry","Jim Rash, Nat Faxon",85%,84%
1895,Railroad Tigers,2017,NR,125 minutes,"Action & Adventure, Comedy",,"$217,051",Sheng Ding,"Jackie Chan, Huang Zitao, Zitao Huang, Wang Kai, Kai Wang, Darren Wang, Alan Ng, Sang Ping, Fan Xu, Hiroyuki Ikeuchi, Zhang Lanxin, Zhang Yishang, Kôji Yano, Kôji Yano, Asano Nagahide, Natas Asoka, Liu Hai Long, Wang Ta Lu","He Keke, Sheng Ding",39%,46%
