,movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
752,752,a birder's guide to everything,2014,PG-13,87 minutes,Comedy,,,Rob Meyer,"Ben Kingsley, James LeGros, Kodi Smit-McPhee, Alex Wolff, Katie Chang, Michael Chen, Daniela Lavender, Briana Marin, Ethan Cohn, Adam Barrie, Stephen Kunken, Ira Hawkins, Zandi Holup, Andy Prosky, Lucas Near-Verbugghe, Leslie Korein, Tobias Campbell, Tracy Bundy, Jessica Perez, Samara Amat, Will Laguzza, Joel Van Liew, Sam Kiernan, Daniel M. Berger","Rob Meyer, Luke Matheny",90%,67%
753,753,he named me malala,2015,PG-13,87 minutes,Documentary,,,Davis Guggenheim,"Malala Yousafzai, Ziauddin Yousafzai, ToorPekai Yousafzai, Khushal Yousafzai, Atal Yousafzai",,72%,72%
754,754,sausage party,2016,R,89 minutes,"Animation, Comedy",,"$97,661,826","Conrad Vernon, Greg Tiernan","Seth Rogen, Kristen Wiig, Jonah Hill, Bill Hader, Michael Cera, James Franco, Danny McBride (IV), Craig Robinson, Paul Rudd, Nick Kroll, David Krumholtz, Edward Norton, Salma Hayek, Michael Daingerfield, Ian James Corlett, Brian Dobson, Michael Dobson, Ian Hanlin, Maryke Hendrikse, Anders Holm, Lauren Miller, Nicole Oliver, Kelly Sheridan, Jason Simpson, Vincent Tong, Scott Diggs, Conrad Vernon, Sam Vincent, Harland Williams","Kyle Hunter, Ariel Shaffir, Seth Rogen, Evan Goldberg",82%,50%
755,755,journey to the west: the demons strike back,2017,PG-13,109 minutes,"Action & Adventure, Comedy, Science Fiction & Fantasy",,"$870,451",Hark Tsui,"Kris Wu, Lin Gengxin, Yao Chen, Lin Yun, Yun Lin, Duo Wang, Mengke Bateer, Jelly Lin, Claudia Wang, Yang Yiwei, Wang Chao, Wang Duo, Da Peng, Bao Bei Er","Stephen Chow, Lee Si Zhen Kelvin, Hark Tsui",55%,50%
756,756,cavemen,2014,R,88 minutes,"Comedy, Romance",,,Herschel Faber,"Skylar Astin, Camilla Belle, Chad Michael Murray, Alexis Knapp, Dayo Okeniyi, Kenny Wormald",Herschel Faber,8%,58%
757,757,under the skin,2014,R,108 minutes,Science Fiction & Fantasy,,"$2,326,121",Jonathan Glazer,"Scarlett Johansson, Paul Brannigan, Krystof Hádek, Antonia Campbell-Hughes, Jessica Mance, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell, Kevin McAlinden, D Meade, Michael Andrew Gorman, Joe Szula, Roy Armstrong, Alison Chand, Ben Mills, Oscar Mills, Lee Fanning, Marius Bincu, Scott Dymond, Stephen Horn, Adam Pearson, May Mewes, Michael Moreland, Dave Acton","Walter Campbell, Jonathan Glazer",84%,55%
759,759,burning sands,2017,NR,96 minutes,Drama,,,Gerard McMurray,"Trevor Jackson, Alfre Woodard, Trevante Rhodes, Steve Harris, DeRon Horton, Rotimi, Tosin Cole, Imani Hakim, Serayah","Gerard McMurray, Christine Berg",87%,63%
760,760,becks,2018,NR,90 minutes,Drama,,,"Elizabeth Rohrbaugh, Daniel Powell","Lena Hall, Mena Suvari, Christine Lahti, Dan Fogler, Hayley Kiyoko, Michael Zegen, Natalie Gold, Wally Dunn, Isabella Farrell, Caden Gerb, Hudson Gerb, Sas Goldberg, Monica Hammond, Chris Myers, Darren Ritchie, Maxim Swinton, Morgan Weed, Sarah Wilson","Daniel Powell, Rebecca Drysdale, Elizabeth Rohrbaugh",93%,83%
761,761,private peaceful,2014,NR,100 minutes,"Art House & International, Drama",,,Pat O'Connor,"Jack O'Connell, George MacKay, Alexandra Roach, Richard Griffiths, Frances De La Tour, John Lynch, Hero Fiennes Tiffin, Maxine Peake, David Frost","Michaël Morpurgo, Simon Reade",64%,58%
762,762,voyeur,2017,NR,95 minutes,Documentary,,,"Myles Kane, Josh Koury",NoStar,,78%,63%
763,763,maudie,2017,PG-13,115 minutes,"Art House & International, Drama, Romance",,"$6,139,048",Aisling Walsh,"Sally Hawkins, Ethan Hawke, Kari Matchett, Gabrielle Rose, Zachary Bennett, Lawrence Barry, Greg Malone, Billy MacLellan, Marthe Bernard, David Feehan, Nik Sexton, Judy Hancock, Mike Daly, Brian Marler, Denise Sinnott",Sherry White,89%,89%
764,764,philomena,2013,PG-13,98 minutes,Drama,,,Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Anna Maxwell-Martin, Ruth McCabe, Barbara Jefford, Mare Winningham, Michelle Fairley, Peter Hermann, Kate Fleetwood, Sean Mahon, Wunmi Mosaku, Amy McCallister, Charlie Murphy (V), Charissa Shearer, Rachel Wilcock, Rita Hamill, Tadhg Bowen, Saoirse Bowen, Harrison D'Ampney, DJ McGrath, Simone Lahbib, Sara Stewart, Gary Lilburn, Charles Edwards, Nicholas Jones, Paris Arrowsmith, Marie Jones, Frankie McCafferty, Vaughn Joseph, Shug Fisher, I. King Jordan, Amber Batty, Martin Glyn Murray, Elliot Levey, Florence Keith-Roach, George Michael Rados, Nika McGuigan","Jeff Pope, Steve Coogan",92%,89%
765,765,project almanac,2015,PG-13,120 minutes,"Mystery & Suspense, Science Fiction & Fantasy",,,Dean Israelite,"Jonny Weston, Sofia Black-D'Elia, Allen Evangelista, Sam Lerner, Ginny Gardner, Amy Landecker, Katie Garfield, Michelle DeFraites, Gary Weeks (II), Macsen Lintz, Gary Grubbs, Jamila Thompson, Patrick Johnson, Joshua Brady, Onira Tares, Mani Yarosh, Andrew Benator, Hillary Harley, André Nemec, Aaron Marcus, Mychael Bates, Anthony Reynolds, Daniel Platzman, Ben McKee, Dan Kay Reynolds, Wayne Sermon","Jason Pagan, Andrew Stark",37%,45%
766,766,straight outta compton,2015,R,147 minutes,"Drama, Musical & Performing Arts",,"$129,402,415",F. Gary Gray,"O'Shea Jackson, Jr., Corey Hawkins, Jason Mitchell, Aldis Hodge, Neil Brown, Jr., Paul Giamatti, Carra Patterson, Elena Goode, Alexandra Shipp, Keith Powers, Marlon Yates, Jr., R. Marcos Taylor, Joshua Brockington, Sheldon Smith, LaKeith Stanfield, Cleavon McClendon, Aeriel Miranda, Lisa Renee Pitts, Angela Gibbs, Bruce Beatty, Rogelio Douglas, Jr., Corey Reynolds, Tate Ellington, F. Gary Gray, Allen Maldonado, Demetrius Grosse, Marcc Rose, Andrew Borba, Matt Corboy, Larry Sullivan, Deborah Lacey, Michael ""Compton Menace"" Taylor, Ashton Sanders, Joshua Geter, Kofi Siriboe, Orlando Brown, Matthew Boylan, Chic Daniel, Tim Connolly, Cris D'Annunzio, Dan Wells, Justin Goslee, Al Wexo, Marcus Callender, Vaughn Wilkinson, Dean Cameron, Mark Thomas Holguin, Sky Soleil, Inny Clemons, Jody Burks, Asia'h Epperson, Scott Endicott, Greg Collins, Mark Sherman, Rob Brownstein, Water L, Nigel Lawes, William LaDawn English, Lazarus Guidry, Ariel Rogers, Lafrazia D. Knighten, Ashley Stepteau, Christian Brown, Ebony Randall, John Prosky, Derrick McMillon, Le Sean Tarkington, Rob Nagle, Travis Nicholson, Todd Quillen, Matthew Downs, Leo Stallworth, Joy Benedict, David L. Cox, Thomas Q. Jones, Toni Duclottni, Phedra Syndelle, Valerie Emanuel, Spencer Melville, Michael W. Broomer, Zee James, Natasha Hopkins, Simon Rhee","Jonathan Herman, Andrea Berloff",87%,91%
767,767,twice born,2013,R,124 minutes,Drama,,"$14,947",Sergio Castellitto,"Emile Hirsch, Adnan Haskovic, Mira Furlan, Penelope Cruz, Jane Birkin, Saadet Isil Aksoy, Sergio Castellitto, Branko Djuric, Isabelle Adriani, Sanja Vejnovic, Luna Mijovic, Juan Carlos Vellido, Milan Pavlovic","Sergio Castellitto, Margaret Mazzantini",17%,68%
768,768,ted 2,2015,R,120 minutes,Comedy,,"$63,883,740",Seth MacFarlane,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth, Giovanni Ribisi, Morgan Freeman, Sam J. Jones, Patrick Warburton, Michael Dorn, Bill Smitrovich, John Slattery, Cocoa Brown, John Carroll Lynch, Ron Canada, Liam Neeson, Dennis Haysbert, Patrick Stewart, Tom Brady, Jay Leno, Jimmy Kimmel, Kate McKinnon, Bobby Moynihan, Taran Killam, William Xifaras","Seth MacFarlane, Alec Sulkin, Wellesley Wild",46%,50%
