,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star
85,127138,1207,498,the brothers grimsby,2016,Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Rebel Wilson, Freddie Crowder",the program,2016,Stephen Frears,"Ben Foster, Jesse Plemons, Chris O'Dowd, Dustin Hoffman, Lee Pace, Guillaume Canet, Denis Ménochet, Laura Donnelly, Elaine Cassidy, J.D. Evermore, Sam Hoare, Chiké Okonkwo, Daniel Stewart, Ancuta Breaban, Jorge Leon Martinez, Barrie Martin, Todd Terry, Jay Moses, John Schwab, Nathan Wiley, Christy Meyers, JD Roth-round, Alex Dobrenko, Guy Potter, Lasco Atkins, Hugh O'brien, David G. Robinson, Lesa Thurman, James Harkness, Nicolas Robin, Alexander Bracq, Edward Hogg, Peter Wight, Chris Larkin, Mark Little, Michael G. Wilson, Sid Phoenix, Josh O'Connor, Saskia Reeves, Chloe Hayward, Adam Le Fevre, Brent Langdon, Julien Vialon, Yves Aubert, Paul Kelleher, Philippe Smolikowski, Lucien Guignard, David Bertrand, Sebastián González, Simon Paisley Day, Geoffrey Freshwater, Joseph Cairns, Susan Snyder, Kari Kleiv, Nikos Poursanidis, Maria Teresa Creasey, Shellia Kennedy, Rosa Bursztein, Denton Blane Everett, Greg Dorchak, Ian Knauer, Gary Weekes, Maud Kleszcz Luszczynski, Andreas Klier, Thomas Dekker, Liam Holohan, Yanto Barker, Colton Jarisch, Joan Horrach, Hugh Wilson, Dirk Bellemakers, Kristian House, Servais Knaven, Kevin Hulsmans"
86,127194,1379,498,to the bone,2017,Marti Noxon,"Rebekah Kennedy, Lily Collins, Dana L. Wilson, Ziah Colon",the program,2016,Stephen Frears,"Ben Foster, Jesse Plemons, Chris O'Dowd, Dustin Hoffman, Lee Pace, Guillaume Canet, Denis Ménochet, Laura Donnelly, Elaine Cassidy, J.D. Evermore, Sam Hoare, Chiké Okonkwo, Daniel Stewart, Ancuta Breaban, Jorge Leon Martinez, Barrie Martin, Todd Terry, Jay Moses, John Schwab, Nathan Wiley, Christy Meyers, JD Roth-round, Alex Dobrenko, Guy Potter, Lasco Atkins, Hugh O'brien, David G. Robinson, Lesa Thurman, James Harkness, Nicolas Robin, Alexander Bracq, Edward Hogg, Peter Wight, Chris Larkin, Mark Little, Michael G. Wilson, Sid Phoenix, Josh O'Connor, Saskia Reeves, Chloe Hayward, Adam Le Fevre, Brent Langdon, Julien Vialon, Yves Aubert, Paul Kelleher, Philippe Smolikowski, Lucien Guignard, David Bertrand, Sebastián González, Simon Paisley Day, Geoffrey Freshwater, Joseph Cairns, Susan Snyder, Kari Kleiv, Nikos Poursanidis, Maria Teresa Creasey, Shellia Kennedy, Rosa Bursztein, Denton Blane Everett, Greg Dorchak, Ian Knauer, Gary Weekes, Maud Kleszcz Luszczynski, Andreas Klier, Thomas Dekker, Liam Holohan, Yanto Barker, Colton Jarisch, Joan Horrach, Hugh Wilson, Dirk Bellemakers, Kristian House, Servais Knaven, Kevin Hulsmans"
87,127229,1490,498,the wedding ringer,2015,Jeremy Garelick,"Kevin Hart, Josh Gad, Kaley Cuoco, Affion Crockett",the program,2016,Stephen Frears,"Ben Foster, Jesse Plemons, Chris O'Dowd, Dustin Hoffman, Lee Pace, Guillaume Canet, Denis Ménochet, Laura Donnelly, Elaine Cassidy, J.D. Evermore, Sam Hoare, Chiké Okonkwo, Daniel Stewart, Ancuta Breaban, Jorge Leon Martinez, Barrie Martin, Todd Terry, Jay Moses, John Schwab, Nathan Wiley, Christy Meyers, JD Roth-round, Alex Dobrenko, Guy Potter, Lasco Atkins, Hugh O'brien, David G. Robinson, Lesa Thurman, James Harkness, Nicolas Robin, Alexander Bracq, Edward Hogg, Peter Wight, Chris Larkin, Mark Little, Michael G. Wilson, Sid Phoenix, Josh O'Connor, Saskia Reeves, Chloe Hayward, Adam Le Fevre, Brent Langdon, Julien Vialon, Yves Aubert, Paul Kelleher, Philippe Smolikowski, Lucien Guignard, David Bertrand, Sebastián González, Simon Paisley Day, Geoffrey Freshwater, Joseph Cairns, Susan Snyder, Kari Kleiv, Nikos Poursanidis, Maria Teresa Creasey, Shellia Kennedy, Rosa Bursztein, Denton Blane Everett, Greg Dorchak, Ian Knauer, Gary Weekes, Maud Kleszcz Luszczynski, Andreas Klier, Thomas Dekker, Liam Holohan, Yanto Barker, Colton Jarisch, Joan Horrach, Hugh Wilson, Dirk Bellemakers, Kristian House, Servais Knaven, Kevin Hulsmans"
88,130920,2689,509,the yellow birds,2017,Alexandre Moors,"Tye Sheridan, Jennifer Aniston, Alden Ehrenreich, Toni Collette",the forger,2015,Philip Martin,"John Travolta, Tye Sheridan, Jennifer Ehle, Abigail Spencer, Anson Mount, Marcus Thomas, Travis Aaron Wade, Lyndon Smith, Julio Oscar Mechoso, Sean Malone, Owen Burke, Steve Sweeney, Bryan Veronneau, Christy Scott Cashman, Bates Wilder, Skyler Wright"
89,130992,1883,509,the wall,2017,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli",the forger,2015,Philip Martin,"John Travolta, Tye Sheridan, Jennifer Ehle, Abigail Spencer, Anson Mount, Marcus Thomas, Travis Aaron Wade, Lyndon Smith, Julio Oscar Mechoso, Sean Malone, Owen Burke, Steve Sweeney, Bryan Veronneau, Christy Scott Cashman, Bates Wilder, Skyler Wright"
90,131489,2952,512,the guest,2014,Adam Wingard,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore",the cobbler,2015,Tom McCarthy,"Adam Sandler, Method Man, Ellen Barkin, Dustin Hoffman, Melonie Diaz, Elena Kampouris, Glenn Fleshler, Lynn Cohen, Steve Buscemi, Dascha Polanco, Dan Stevens (IV)"
91,131689,1450,512,the do-over,2016,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",the cobbler,2015,Tom McCarthy,"Adam Sandler, Method Man, Ellen Barkin, Dustin Hoffman, Melonie Diaz, Elena Kampouris, Glenn Fleshler, Lynn Cohen, Steve Buscemi, Dascha Polanco, Dan Stevens (IV)"
92,143153,963,546,"hail, caesar!",2016,"Ethan Coen, Joel Coen","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes","hail, caesar!",2016,"Joel Coen, Ethan Coen","Josh Brolin, George Clooney, Tilda Swinton, Ralph Fiennes, Jonah Hill, Frances McDormand, Channing Tatum, Scarlett Johansson, Alden Ehrenreich, Christopher Lambert, Veronica Osorio, Heather Goldenhersh, Alison Pill, Max Baker, Fisher Stevens, Patrick Fischler, Tom Musgrave, David Krumholtz, Greg Baldwin, Patrick Carroll, Fred Melamed, John Bluthal, Alex Karpovsky, Aramazd Stepanian, Allan Havey, Robert Pike Daniel, Robert Picardo, Ian Blackman, Geoffrey Cantor, Robert Trebor, Michael Yama, Ming Zhao, Basil Hoffman, Luke Spencer Roberts, Ralph P. Martin, James Austin Johnson, Noah Baron, Timm Perry, Noel Conlon, Natasha Bassett, Richard Abraham, Jon Daly, Dennis Cockrum, Clancy Brown, Mather Zickel, Tiffany Lonsdale, Clement von Franckenstein, Wayne Knight, Kyle Bornheimer, Jeff Lewis, Josh Cooke, Peter Jason, Stephen Ellis, Jillian Armenante, Jacob Witkin, Jack Huston, Agyness Deyn, Emily Beecham, Benjamin Beatty, J.R. Horne, Caitlin Muelder, E.E. Bell, Kate Morgan Chadwick, Brian Michael Jones, Peter Banifaz, Clifton Samuels, K.C. Reischerl, Jeremy Davis, Marcos Ochoa, Colin Bradbury, Ryan Breslin, Tyler Hanes"
93,143355,2891,554,boo 2! a madea halloween,2017,Tyler Perry,"Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat",tyler perry's boo! a madea halloween,2016,Tyler Perry,"Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat, Lexy Panterra, Andre Hall, Brock O'Hurn, Liza Koshy, Diamond White, Bella Thorne, Kian Lawley, J.C. Caylen, Jimmy Tatro, Tyga, Joey Nappo, Dee Dubois, Javon Johnson, Angela Ray, Christine Horn, Jason Vail, Andrew Rush, Dominique, Thomas Miles, Lavell Crawford, Corey Holcomb, Aaron Beelner, Bill Humphries, Adele Givens, Davison Willis, Abraham Clinkscales, Coletrane Williams, Khalib McAdams, Will Kommor, Jason Jamal Ligon, RJ Shearer, Ahmed Zakzouk, Michael Hampton, Cody Griffis, Cody Griffis Griffis"
94,143405,1443,555,trumbo,2015,Jay Roach,"Bryan Cranston, Diane Lane, Helen Mirren, Louis C.K.",trumbo,2015,Jay Roach,"Bryan Cranston, Alan Tudyk, Diane Lane, Elle Fanning, Helen Mirren, John Goodman, Louis C.K., Michael Stuhlbarg, Richard Portnow, John Getz, Mark Harelik, Christian Berkel, Madison Wolfe, Dan Bakkedahl, David James Elliott, Roger Bart, Stephen Root, Adewale Akinnuoye-Agbaje, Dean O'Gorman, Dave Maldonado, Laura Flannery, Tobias McDowell Nichols, James DuMont, Joseph S. Martino, Johnny Sneed, Jason Bayle, Rio Hackford, Dane Rhodes, Peter Mackenzie, John Neisler, Sean Bridgers, Herbert P.J. Marshall, Meghan Wolfe, Mitchell Zakocs, John E. Moore, Jason Kirkpatrick, Wayne Pére, A.J. Allegra, Mattie Liptak, Becca Nicole Preston, Garrett Hines, Christian LeBlanc, Ron Fassler, Jim Gleason, Rick Kelly, Billy Slaughter, Griff Furst, John Mark Skinner, Pete Anthony"
