,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star
105,154060,686,593,the lobster,2015,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Jessica Barden, Olivia Colman",the last impresario,2014,Gracie Otto,"Anna Wintour, John Cleese, Gracie Otto, Naomi Watts, Lorne Michaels, John Waters, Robert Shaye, Wallace Shawn, Jeremy Thomas, Brian Thomson, Peter Richardson, Jim Sharman, Greta Scacchi, Patricia Quinn, Joshua White, Colin Vaines, Rachel Ward, Alan Yentob, Robert Fox, Alan Finkelstein, Sabrina Guinness, Lyndall Hobbs, Lou Adler, Nell Campbell, Nigel Planer, Yoko Ono, Jean Pigozzi, Barry Humphries, Bill Oddie, Kate Moss, Richard O'Brien"
106,155661,394,600,the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",the nice guys,2016,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Yaya DaCosta, Keith David, Beau Knapp, Lois Smith, Murielle Telio, Gil Gerard, Daisy Tahan, Kim Basinger, Jack Kilmer, Ty Simpkins"
107,157514,356,606,the mountain between us,2017,Hany Abu-Assad,"Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",the mountain between us,2017,Hany Abu-Assad,"Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney"
108,159018,2074,610,the infiltrator,2016,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",the magnificent seven,2016,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Haley Bennett, Peter Sarsgaard, Luke Grimes, Matt Bomer, Jonathan Joss, Cam Gigandet, Emil Beheshti, Mark Ashworth, Billy Slaughter, Dodge Prince, Matthew Posey, Carrie Lazar, Jody Mullins, Clint James, Dane Rhodes, Ritchie Montgomery, Sean Bridgers, William Lee Scott, David Kallaway, Griff Furst, Alix Angelis, Sean Boyd, Rob Mello, Walker Babington, Thomas Blake Jr., Ryan Brown, Derek Lacasa, John Wylie, Chad Randall, Wally Welch, Kevin Wayne, Ed Lowry, David Manzanares, Dylan Kenin, Kevin Wiggins, Jackson Beals, Miles Doleac, Heath Lemme, Charles Bickham, Gregory Chase Williams, Fionn Camp"
109,159188,327,610,the magnificent seven,2016,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",the magnificent seven,2016,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Haley Bennett, Peter Sarsgaard, Luke Grimes, Matt Bomer, Jonathan Joss, Cam Gigandet, Emil Beheshti, Mark Ashworth, Billy Slaughter, Dodge Prince, Matthew Posey, Carrie Lazar, Jody Mullins, Clint James, Dane Rhodes, Ritchie Montgomery, Sean Bridgers, William Lee Scott, David Kallaway, Griff Furst, Alix Angelis, Sean Boyd, Rob Mello, Walker Babington, Thomas Blake Jr., Ryan Brown, Derek Lacasa, John Wylie, Chad Randall, Wally Welch, Kevin Wayne, Ed Lowry, David Manzanares, Dylan Kenin, Kevin Wiggins, Jackson Beals, Miles Doleac, Heath Lemme, Charles Bickham, Gregory Chase Williams, Fionn Camp"
110,159321,2679,610,the institute,2017,"James Franco, Pamela Romanowsky","James Franco, Allie Gallerani, Tim Blake Nelson, Lori Singer",the magnificent seven,2016,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Haley Bennett, Peter Sarsgaard, Luke Grimes, Matt Bomer, Jonathan Joss, Cam Gigandet, Emil Beheshti, Mark Ashworth, Billy Slaughter, Dodge Prince, Matthew Posey, Carrie Lazar, Jody Mullins, Clint James, Dane Rhodes, Ritchie Montgomery, Sean Bridgers, William Lee Scott, David Kallaway, Griff Furst, Alix Angelis, Sean Boyd, Rob Mello, Walker Babington, Thomas Blake Jr., Ryan Brown, Derek Lacasa, John Wylie, Chad Randall, Wally Welch, Kevin Wayne, Ed Lowry, David Manzanares, Dylan Kenin, Kevin Wiggins, Jackson Beals, Miles Doleac, Heath Lemme, Charles Bickham, Gregory Chase Williams, Fionn Camp"
111,159499,983,610,the party,2017,Sally Potter,"Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Bruno Ganz",the magnificent seven,2016,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Haley Bennett, Peter Sarsgaard, Luke Grimes, Matt Bomer, Jonathan Joss, Cam Gigandet, Emil Beheshti, Mark Ashworth, Billy Slaughter, Dodge Prince, Matthew Posey, Carrie Lazar, Jody Mullins, Clint James, Dane Rhodes, Ritchie Montgomery, Sean Bridgers, William Lee Scott, David Kallaway, Griff Furst, Alix Angelis, Sean Boyd, Rob Mello, Walker Babington, Thomas Blake Jr., Ryan Brown, Derek Lacasa, John Wylie, Chad Randall, Wally Welch, Kevin Wayne, Ed Lowry, David Manzanares, Dylan Kenin, Kevin Wiggins, Jackson Beals, Miles Doleac, Heath Lemme, Charles Bickham, Gregory Chase Williams, Fionn Camp"
112,159584,1226,610,the interview,2014,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Randall Park, Lizzy Caplan",the magnificent seven,2016,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Haley Bennett, Peter Sarsgaard, Luke Grimes, Matt Bomer, Jonathan Joss, Cam Gigandet, Emil Beheshti, Mark Ashworth, Billy Slaughter, Dodge Prince, Matthew Posey, Carrie Lazar, Jody Mullins, Clint James, Dane Rhodes, Ritchie Montgomery, Sean Bridgers, William Lee Scott, David Kallaway, Griff Furst, Alix Angelis, Sean Boyd, Rob Mello, Walker Babington, Thomas Blake Jr., Ryan Brown, Derek Lacasa, John Wylie, Chad Randall, Wally Welch, Kevin Wayne, Ed Lowry, David Manzanares, Dylan Kenin, Kevin Wiggins, Jackson Beals, Miles Doleac, Heath Lemme, Charles Bickham, Gregory Chase Williams, Fionn Camp"
113,159702,1577,610,the vault,2017,Dan Bush,"James Franco, Scott Haze, Taryn Manning, Francesca Eastwood",the magnificent seven,2016,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Haley Bennett, Peter Sarsgaard, Luke Grimes, Matt Bomer, Jonathan Joss, Cam Gigandet, Emil Beheshti, Mark Ashworth, Billy Slaughter, Dodge Prince, Matthew Posey, Carrie Lazar, Jody Mullins, Clint James, Dane Rhodes, Ritchie Montgomery, Sean Bridgers, William Lee Scott, David Kallaway, Griff Furst, Alix Angelis, Sean Boyd, Rob Mello, Walker Babington, Thomas Blake Jr., Ryan Brown, Derek Lacasa, John Wylie, Chad Randall, Wally Welch, Kevin Wayne, Ed Lowry, David Manzanares, Dylan Kenin, Kevin Wiggins, Jackson Beals, Miles Doleac, Heath Lemme, Charles Bickham, Gregory Chase Williams, Fionn Camp"
114,160887,264,615,the martian,2015,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",the zero theorem,2014,Terry Gilliam,"Christoph Waltz, Mélanie Thierry, David Thewlis, Lucas Hedges, Tilda Swinton, Ben Whishaw, Matt Damon, Peter Stormare, Sanjeev Bhaskar, Gwendoline Christie, Rupert Friend, Lily Cole, Ray Cooper, Margarita Doyle, Emil Hostina, Pelvic Nemes, Dana Rogoz"
115,162169,2628,616,the thinning,2016,Michael J. Gallagher,"Logan Paul, Peyton List, Lia Marie Johnson, Calum Worthy",the darkness,2016,Greg McLean,"Kevin Bacon, Radha Mitchell, David Mazouz, Lucy Fry, Matt Walsh, Jennifer Morrison, Parker Mack, Paul Reiser, Ming-Na Wen, Trian Long Smith, Tara Lynne Barr, Krista Marie Yu, Christopher Darga, Judith McConnell, Ilza Rosario, Alma Martinez, Yoshio Be, Al Coronel, A.J. Tannen, Katie Ward, Jocelyn Ayanna, Sara Mornell, David Babbitt"
116,163437,2074,620,the infiltrator,2016,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",the infiltrator,2016,Brad Furman,"Bryan Cranston, Diane Kruger, John Leguizamo, Benjamin Bratt, Yul Vázquez, Joseph Gilgun, Joe Gilgun, Olympia Dukakis, Amy Ryan, Juliet Aubrey, Elena Anaya, Rubén Ochandiano, Leanne Best, Daniel Mays, Tom Vaughan-Lawlor, Niall Hayes, Lara Decaro, Jason Isaacs, Richard Katz, Fred Furman, Juan Cely, David Horovitch, Mark Holden, Simón Andreu, Jess Fuerst, Christian Contreras, Samya Boulahri, Jasmine Jardot, Paul Brightwell, Xarah Xavier, Stephanie Callahan, Art Malik, Said Taghmaoui, Tim Dutton, Stewart O'Reilly, Ekaterina Zalitko, Ashley Bannerman, Michael Paré, Carsten Hayes, Miguel Ruiz, Ronald Fox, Andy Beckwith, Matthew Stirling, Nabil Massad, Cesare Taurasi, Rez Kabir, Dinita Gohil, Mitchell Mullen, Nathan Morse"
117,163635,394,620,the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",the infiltrator,2016,Brad Furman,"Bryan Cranston, Diane Kruger, John Leguizamo, Benjamin Bratt, Yul Vázquez, Joseph Gilgun, Joe Gilgun, Olympia Dukakis, Amy Ryan, Juliet Aubrey, Elena Anaya, Rubén Ochandiano, Leanne Best, Daniel Mays, Tom Vaughan-Lawlor, Niall Hayes, Lara Decaro, Jason Isaacs, Richard Katz, Fred Furman, Juan Cely, David Horovitch, Mark Holden, Simón Andreu, Jess Fuerst, Christian Contreras, Samya Boulahri, Jasmine Jardot, Paul Brightwell, Xarah Xavier, Stephanie Callahan, Art Malik, Said Taghmaoui, Tim Dutton, Stewart O'Reilly, Ekaterina Zalitko, Ashley Bannerman, Michael Paré, Carsten Hayes, Miguel Ruiz, Ronald Fox, Andy Beckwith, Matthew Stirling, Nabil Massad, Cesare Taurasi, Rez Kabir, Dinita Gohil, Mitchell Mullen, Nathan Morse"
118,163685,2576,620,troy the odyssey,2017,Tekin Girgin,"Dylan Vox, Lara Heller, Hachem Hicham, David Gray",the infiltrator,2016,Brad Furman,"Bryan Cranston, Diane Kruger, John Leguizamo, Benjamin Bratt, Yul Vázquez, Joseph Gilgun, Joe Gilgun, Olympia Dukakis, Amy Ryan, Juliet Aubrey, Elena Anaya, Rubén Ochandiano, Leanne Best, Daniel Mays, Tom Vaughan-Lawlor, Niall Hayes, Lara Decaro, Jason Isaacs, Richard Katz, Fred Furman, Juan Cely, David Horovitch, Mark Holden, Simón Andreu, Jess Fuerst, Christian Contreras, Samya Boulahri, Jasmine Jardot, Paul Brightwell, Xarah Xavier, Stephanie Callahan, Art Malik, Said Taghmaoui, Tim Dutton, Stewart O'Reilly, Ekaterina Zalitko, Ashley Bannerman, Michael Paré, Carsten Hayes, Miguel Ruiz, Ronald Fox, Andy Beckwith, Matthew Stirling, Nabil Massad, Cesare Taurasi, Rez Kabir, Dinita Gohil, Mitchell Mullen, Nathan Morse"
119,166627,611,639,the intern,2015,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",the interview,2014,"Seth Rogen, Evan Goldberg","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy C. Simons, Joseph Gordon-Levitt, Anders Holm, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson, Dominique Lalonde, Anesha Bailey, Charles Chun, Charles Rahi Chun, Don Chow, Yun-a Song, Willem Jacobson, Daniel Lim, Harrison Lee, Jason Cox, John Coughlin, Peter Neilly, Yoosik Oum, Scott Seol, Daniel Park, Justin Lee (II), Don Lew, Andrew Chin, Jung Jin Park, Dan Sterling, Fred Henderson, Danny Shea, Tommy Chang, Justin Cho, David Kim, Adrian deLotz, Hong-Gill Cha, Sean Cho, David Ko, Jack Jekeon Cha, William ""Bigsleeps"" Stewart, Alice Wetterlund, Stacey Turner, Ben Schwartz, Danyella Angel, Alan Blumenfeld, Paola Botero, Thomas Cadrot, Steve Chang, David Diaan, Paul Herbert, Daniel Juhn, Nick Kaiser, Daeyoung Danny Kim, Crystal Lee, Won Hee Lee, Mercy Malick, Isaac Shr, Paniz Zade"
120,166744,2229,639,the iceman,2012,Ariel Vromen,"Michael Shannon, Chris Evans, James Franco, Winona Ryder",the interview,2014,"Seth Rogen, Evan Goldberg","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy C. Simons, Joseph Gordon-Levitt, Anders Holm, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson, Dominique Lalonde, Anesha Bailey, Charles Chun, Charles Rahi Chun, Don Chow, Yun-a Song, Willem Jacobson, Daniel Lim, Harrison Lee, Jason Cox, John Coughlin, Peter Neilly, Yoosik Oum, Scott Seol, Daniel Park, Justin Lee (II), Don Lew, Andrew Chin, Jung Jin Park, Dan Sterling, Fred Henderson, Danny Shea, Tommy Chang, Justin Cho, David Kim, Adrian deLotz, Hong-Gill Cha, Sean Cho, David Ko, Jack Jekeon Cha, William ""Bigsleeps"" Stewart, Alice Wetterlund, Stacey Turner, Ben Schwartz, Danyella Angel, Alan Blumenfeld, Paola Botero, Thomas Cadrot, Steve Chang, David Diaan, Paul Herbert, Daniel Juhn, Nick Kaiser, Daeyoung Danny Kim, Crystal Lee, Won Hee Lee, Mercy Malick, Isaac Shr, Paniz Zade"
121,166886,1226,639,the interview,2014,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Randall Park, Lizzy Caplan",the interview,2014,"Seth Rogen, Evan Goldberg","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy C. Simons, Joseph Gordon-Levitt, Anders Holm, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson, Dominique Lalonde, Anesha Bailey, Charles Chun, Charles Rahi Chun, Don Chow, Yun-a Song, Willem Jacobson, Daniel Lim, Harrison Lee, Jason Cox, John Coughlin, Peter Neilly, Yoosik Oum, Scott Seol, Daniel Park, Justin Lee (II), Don Lew, Andrew Chin, Jung Jin Park, Dan Sterling, Fred Henderson, Danny Shea, Tommy Chang, Justin Cho, David Kim, Adrian deLotz, Hong-Gill Cha, Sean Cho, David Ko, Jack Jekeon Cha, William ""Bigsleeps"" Stewart, Alice Wetterlund, Stacey Turner, Ben Schwartz, Danyella Angel, Alan Blumenfeld, Paola Botero, Thomas Cadrot, Steve Chang, David Diaan, Paul Herbert, Daniel Juhn, Nick Kaiser, Daeyoung Danny Kim, Crystal Lee, Won Hee Lee, Mercy Malick, Isaac Shr, Paniz Zade"
122,167096,1870,639,the lucky one,2012,Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart",the interview,2014,"Seth Rogen, Evan Goldberg","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy C. Simons, Joseph Gordon-Levitt, Anders Holm, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson, Dominique Lalonde, Anesha Bailey, Charles Chun, Charles Rahi Chun, Don Chow, Yun-a Song, Willem Jacobson, Daniel Lim, Harrison Lee, Jason Cox, John Coughlin, Peter Neilly, Yoosik Oum, Scott Seol, Daniel Park, Justin Lee (II), Don Lew, Andrew Chin, Jung Jin Park, Dan Sterling, Fred Henderson, Danny Shea, Tommy Chang, Justin Cho, David Kim, Adrian deLotz, Hong-Gill Cha, Sean Cho, David Ko, Jack Jekeon Cha, William ""Bigsleeps"" Stewart, Alice Wetterlund, Stacey Turner, Ben Schwartz, Danyella Angel, Alan Blumenfeld, Paola Botero, Thomas Cadrot, Steve Chang, David Diaan, Paul Herbert, Daniel Juhn, Nick Kaiser, Daeyoung Danny Kim, Crystal Lee, Won Hee Lee, Mercy Malick, Isaac Shr, Paniz Zade"
123,172573,128,651,pirates of the caribbean: dead men tell no tales,2017,"Joachim Rnning, Espen Sandberg","Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom",pirates of the caribbean: dead men tell no tales,2017,"Espen Sandberg, Joachim Rønning","Johnny Depp, Orlando Bloom, Kaya Scodelario, Javier Bardem, Geoffrey Rush, Brenton Thwaites, David Wenham, Stephen Graham, Golshifteh Farahani, Kevin McNally, Martin Klebba, Mahesh Jadu, Jessica Green (XIII), Adam Brown, Mark Preston, Goran D. Kleut, Zoe Ventoura"
124,176027,1761,655,wish upon,2017,John R. Leonetti,"Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert",wish upon,2017,John R. Leonetti,"Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert, Shannon Purser, Sydney Park, Alice Lee (XIV), Kevin Hanchard, Sherilyn Fenn, Elisabeth Röhm, Josephine Langford, Alexander Nunez, Daniela Barbosa, Reagan Revord, Victor Sutton, Albert Chung, Michelle Alexander, Natalie Prinzen-Klages, Nora Prinzen-Klages, Monique Stinchcombe, Danielle Pollari, Rosalina Lee, Ryan Taerk"
125,178758,1731,669,non-stop,2014,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery",non-stop,2014,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Corey Stoll, Michelle Dockery, Scoot McNairy, Nate Parker, Lupita Nyong'o, Omar Metwally, Jason Butler Harner, Linus Roache, Shea Whigham, Anson Mount, Quinn McColgan, Corey Hawkins, Frank Deal, Bar Paly, Edoardo Costa, Jon Abrahams, Amanda Quaid, Beth Dixon, Cameron Moir, Lars Gerhard, Oliver Lehne, Michael Thomas Walker, Pat Kiernan, Annika Pergament, Victoria Arbiter, Jefrey Pollock, Hank Sheinkopf, Dani DeWaal, Adi Hanash, Allan Wilson, Alex Heineman"
126,180646,2066,679,the walk,2015,Robert Zemeckis,"Joseph Gordon-Levitt, Charlotte Le Bon, Guillaume Baillargeon, milie Leclerc",the hallow,2015,Corin Hardy,"Joseph Mawle, Bojana Novakovic, Charlotte Williams, Michael McElhatton, Michael Smiley, Stephen Cromwell, Wren Hardy, James Rodgers, Joseph Rodgers, Gary Lydon, Stuart Graham, Conor Craig Stephens, Sean Tyrrell, Joss Wyre, Sean Tyrell, Billie Traynor, Alan Archbold, Luc Walsh, Gerard Flatherty, James Meryk, Padraig Mac Cathmhaoil, Seamus Mac Cathmhaoil, Ryan Thorntan, Padraig Feeney, Fiachra McInerney"
127,182399,1633,683,goosebumps,2015,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",goosebumps,2015,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Amy Ryan, Jillian Bell, Ryan Scott Lee, Ella Wahlestedt, Karan Soni, Steven Krueger, Amanda Lund, Cooper Ryan Lee, Kumail Nanjiani, Jared Sandler, Ken Marino, R.L. Stine, Clare Halstead, Gabriela Fraile, Jason A. Davis, Caleb Emery, Melissa Eastwood, Erica Marie Sanchez, Halston Sage, Keith Arthur Bolden, Timothy C. Simons, Nate Andrade, Sheldon Brown, Melissa Brewer, Marshall Choka, Melissa Cowan, John Deifer, Everett Dixon"
128,183364,722,690,creed ii,2018,Steven Caple Jr.,"Tessa Thompson, Michael B. Jordan, Sylvester Stallone, Dolph Lundgren",assassin's creed,2016,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson, Charlotte Rampling, Michael Kenneth Williams, Denis Ménochet, Ariane Labed, Khalid Abdalla, Carlos Bardem, Javier Gutiérrez, Essie Davis, Mattias Padin Varela, Callum Turner, Hovik Keuchkerian, Crystal Clarke, Michelle H. Lin, Julio Jordan, Angus Brown, Kemaal Deen-Ellis, Aaron Monaghan, Thomas Camilleri, Marysia S. Peres, Jeff Mash, James Sobol Kelly, Gabriel Andreu, Yuric Allison, Joe Kennard, Gertrude Thoma, Juan Pablo Shuk"
129,186626,102,718,transformers: the last knight,2017,Michael Bay,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",the last witch hunter,2015,Breck Eisner,"Vin Diesel, Rose Leslie, Michael Caine, Elijah Wood, Olafur Darri Olafsson, Julie Engelbrecht, Rena Owen, Joe Gilgun, Joseph Gilgun, Isaach De Bankolé, Michael Halsey, Sloane Coombs, Lotte Verbeek, Dawn Olivieri, Inbar Lavi, Armani Jackson, Aimee Carrero, Bex Taylor-Klaus, David Whalen, Jack Erdie, Toussaint Raphael Abessolo, Laura Smiley, Allegra Carpenter, Joseph Rittenhouse, Samara Lee, Nathan Hollabaugh, David Vegh, Billy Hepfinger, Corey Rieger, Denver Milord, Gregory Johnstone, Jonathan Visser, Bonnie Morgan, Mark Steger, Mark Musashi, Shane Callahan, Alanna Janell, Wayman Ezell, Jackson Frazer, Ruth Crawford"
130,188271,1435,723,irreplaceable you,2018,Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons",irreplaceable you,2018,Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Jacki Weaver, Christopher Walken, Kate McKinnon"
131,190028,440,729,san andreas,2015,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Colton Haynes",san andreas,2015,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Paul Giamatti, Ioan Gruffudd, Archie Panjabi, Hugo Johnstone-Burt, Art Parkinson, Kylie Minogue, Hugo JohnstoneBurt, Will Yun Lee, Colton Haynes, Todd Williams, Matt Gerald, Alec Utgoff, Marissa Neitling, Morgan Griffin, Breanne Hill, Laurence Coy, Fiona Press, Dennis Coard, Ben McIvor, Nick Allen-Ducat, Nick Allen, Claire Lovering, Sophia Emberson-Bain, Sophia Emberson, Julian Shaw, Sofie Formica, Hugh Francis, Brad McMurray, John Brently Reynolds, Simone Kessell, Saskia Williscroft, Arabella Morton, Hayley Sullivan, Renee Somerfield, Joey D. Vieira, Ben Blankenship, Nikki Green, Barry Southgate, Nikki Greene, Calum Grant, Eduardo Ambriz DeColosio, Michael J. Asberry, Teirrah McNair, Michael Yamaguchi, Georgia Lockhart-Adams"
132,190269,236,732,the hateful eight,2015,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",the duel,2016,Kieran Darcy-Smith,"Woody Harrelson, Liam Hemsworth, Alice Braga, Emory Cohen, William Sadler, Felicity Price, Christopher Baker, Christopher Berry, Benedict Samuel, Giles Matthey, Raphael Sbarge, Jason Carter, David Born, Lawrence Turner, Kim Hidalgo, John McConnell, José Zúñiga, Josh Whites, Kerry Cahill, Hector Machado, Gloria Sandoval, Kelly Bellini, Marlin Stark Richardson, Jeremy Sande, Matthew Frias, Caleb Thaggard"
133,190378,483,732,the imitation game,2014,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech",the duel,2016,Kieran Darcy-Smith,"Woody Harrelson, Liam Hemsworth, Alice Braga, Emory Cohen, William Sadler, Felicity Price, Christopher Baker, Christopher Berry, Benedict Samuel, Giles Matthey, Raphael Sbarge, Jason Carter, David Born, Lawrence Turner, Kim Hidalgo, John McConnell, José Zúñiga, Josh Whites, Kerry Cahill, Hector Machado, Gloria Sandoval, Kelly Bellini, Marlin Stark Richardson, Jeremy Sande, Matthew Frias, Caleb Thaggard"
134,192004,363,737,the great gatsby,2013,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire",the gift,2015,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Busy Philipps, David Denman, Allison Tolman, Katie Aselton, Susan May Pratt, Wendell Pierce, Beau Knapp, Tim Griffin, Nash Edgerton, P.J. Byrne, Mirrah Foulkes, Adam Lazarre-White, Felicity Price, Stacey Bender, David Joseph Craig, Beth Crudele, Melinda Allen, Laura Drake Mancini, Jyothsna Venkatesh"
135,192460,1450,737,the do-over,2016,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",the gift,2015,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Busy Philipps, David Denman, Allison Tolman, Katie Aselton, Susan May Pratt, Wendell Pierce, Beau Knapp, Tim Griffin, Nash Edgerton, P.J. Byrne, Mirrah Foulkes, Adam Lazarre-White, Felicity Price, Stacey Bender, David Joseph Craig, Beth Crudele, Melinda Allen, Laura Drake Mancini, Jyothsna Venkatesh"
136,194018,402,740,the hobbit: the battle of the five armies,2014,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett",the legend of tarzan,2016,David Yates,"Alexander Skarsgård, Margot Robbie, Samuel L. Jackson, Christoph Waltz, Djimon Hounsou, Rory J. Saper, Christian Stevens, Casper Crump, Sidney Ralitsoele, Osy Ikhile, Mens-Sana Tamakloe, Antony Acheampong, Edward Apeagyei, Ashley Byam, Adam Ganne, Aleksandar Mikic, Gary Cargill, Shaun Smith, Ian Mercer, Laurence Spellman, Alex Ferns, Roger Evans, Clive Brunt, Charles Babalola, Yule Masiteng, Mimi Ndiweni, Faith Edwards, Matt Cross, Madeleine Worrall, William Wollen, Cedric Weber, Richard James-Neale, Charlie Anson, Simon Russell Beale, John Hollingworth, Maxim De Villiers, Miles Jupp, Teresa Churcher, Jim Broadbent, Christopher Benjamin, Paul Hamilton, Ben Chaplin, Faisal Mohammed, Genevieve O'Reilly, Hadley Fraser, Augusts Dakteris, Caitlin McIntosh, Sophia Ramos, Thomas Coghlan, Amelia Mae Butler, Jack Hammond, Oliver Lamb, Matilda Hedley, Luke Smith, John Harvey Wilson, Adam Scholes, Owen Walters, Orla McFarlane"
137,194154,609,740,the legend of tarzan,2016,David Yates,"Alexander Skarsgrd, Rory J. Saper, Christian Stevens, Christoph Waltz",the legend of tarzan,2016,David Yates,"Alexander Skarsgård, Margot Robbie, Samuel L. Jackson, Christoph Waltz, Djimon Hounsou, Rory J. Saper, Christian Stevens, Casper Crump, Sidney Ralitsoele, Osy Ikhile, Mens-Sana Tamakloe, Antony Acheampong, Edward Apeagyei, Ashley Byam, Adam Ganne, Aleksandar Mikic, Gary Cargill, Shaun Smith, Ian Mercer, Laurence Spellman, Alex Ferns, Roger Evans, Clive Brunt, Charles Babalola, Yule Masiteng, Mimi Ndiweni, Faith Edwards, Matt Cross, Madeleine Worrall, William Wollen, Cedric Weber, Richard James-Neale, Charlie Anson, Simon Russell Beale, John Hollingworth, Maxim De Villiers, Miles Jupp, Teresa Churcher, Jim Broadbent, Christopher Benjamin, Paul Hamilton, Ben Chaplin, Faisal Mohammed, Genevieve O'Reilly, Hadley Fraser, Augusts Dakteris, Caitlin McIntosh, Sophia Ramos, Thomas Coghlan, Amelia Mae Butler, Jack Hammond, Oliver Lamb, Matilda Hedley, Luke Smith, John Harvey Wilson, Adam Scholes, Owen Walters, Orla McFarlane"
138,195061,2719,741,the final girls,2015,Todd Strauss-Schulson,"Taissa Farmiga, Malin Akerman, Adam Devine, Thomas Middleditch",the windmill,2016,Nick Jongerius,"Charlotte Beaumont (III), Bart Klever, Patrick Baladi, Ben Batt, Fiona Hampton, Tanroh Ishida, Adam Thomas Wright, Noah Taylor, Kenan Raven, Donnya Zidan, Derek Howard, Mattijn Hartemink, Edo Brunner, Stijn Westenend, Liz Vergeer, Ties Jaspers, Maxim De Villiers, Igor Vrebac, Valentine Berning, Femke Lakerveld, Danny Jongejan, Lize DeKlerk"
