_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star
77156,2686,313,the exception,2016,David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Los van Wijk",the star,2017,Timothy Reckart,"Steven Yeun, Gina Rodriguez, Zachary Levi, Keegan-Michael Key, Kelly Clarkson, Anthony Anderson, Aidy Bryant, Ving Rhames, Gabriel Iglesias, Patricia Heaton, Kristin Chenoweth, Christopher Plummer, Tracy Morgan, Tyler Perry, Oprah Winfrey"
77371,530,313,the lion king,2019,Jon Favreau,"Donald Glover, Seth Rogen, Chiwetel Ejiofor, Keegan-Michael Key",the star,2017,Timothy Reckart,"Steven Yeun, Gina Rodriguez, Zachary Levi, Keegan-Michael Key, Kelly Clarkson, Anthony Anderson, Aidy Bryant, Ving Rhames, Gabriel Iglesias, Patricia Heaton, Kristin Chenoweth, Christopher Plummer, Tracy Morgan, Tyler Perry, Oprah Winfrey"
77406,591,313,the star,2017,Timothy Reckart,"Steven Yeun, Keegan-Michael Key, Aidy Bryant, Gina Rodriguez",the star,2017,Timothy Reckart,"Steven Yeun, Gina Rodriguez, Zachary Levi, Keegan-Michael Key, Kelly Clarkson, Anthony Anderson, Aidy Bryant, Ving Rhames, Gabriel Iglesias, Patricia Heaton, Kristin Chenoweth, Christopher Plummer, Tracy Morgan, Tyler Perry, Oprah Winfrey"
77594,983,313,the party,2017,Sally Potter,"Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Bruno Ganz",the star,2017,Timothy Reckart,"Steven Yeun, Gina Rodriguez, Zachary Levi, Keegan-Michael Key, Kelly Clarkson, Anthony Anderson, Aidy Bryant, Ving Rhames, Gabriel Iglesias, Patricia Heaton, Kristin Chenoweth, Christopher Plummer, Tracy Morgan, Tyler Perry, Oprah Winfrey"
79633,1071,319,insidious: chapter 2,2013,James Wan,"Patrick Wilson, Rose Byrne, Barbara Hershey, Lin Shaye",insidious: chapter 3,2015,Leigh Whannell,"Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell, Lin Shaye, Tate Berney, Michael Reid Mackay, Steve Coulter, Hayley Kiyoko, Corbett Tuck"
79638,842,319,insidious: chapter 3,2015,Leigh Whannell,"Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell",insidious: chapter 3,2015,Leigh Whannell,"Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell, Lin Shaye, Tate Berney, Michael Reid Mackay, Steve Coulter, Hayley Kiyoko, Corbett Tuck"
80503,529,324,unlocked,2017,Michael Apted,"Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich",unlocked,2017,Michael Apted,"Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich, Michael Douglas"
82334,221,327,the man from u.n.c.l.e.,2015,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",the man from u.n.c.l.e.,2015,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Hugh Grant, Jared Harris, Elizabeth Debicki, Luca Calvani, Sylvester Groth, Christian Berkel, Misha Kuznetsov, Guy Williams, Marianna Di Martino, Julian Michael Deuster, Andrea Cagliesi, Riccardo Calvanese, Peter Stark, David Menkin, Pablo Scola, Cesare Taurasi, Riccardo Flammini, Francesco De Vito, Luca Della Valle, Simona Caparrini, David Beckham, Alessandro Ananasso, Joana Metrass, Gabriel Farnese, Elbio Bonsaglio, Michael J. Peluso, Alan Turkington, Sergio Marini"
83123,284,332,jurassic world,2015,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer",ordinary world,2016,Lee Kirk,"Billie Joe Armstrong, Selma Blair, Fred Armisen, Judy Greer, Chris Messina, Dallas Roberts, Kevin Corrigan, Brian Baumgartner, Madisyn Shipman, Mia Dillon, Lucas Papaelias, Rick Younger, Sean Gunn, Valentine Miele, Rebecca Naomi Jones, Ron Simons, Andrew Call, Joan Jett, Andy Grotelueschen, Don Guillory, Nancy Ticotin, Kevin Hoffman, Rufus Collins, Kresh Novakovic, Michael Devine, Mason Fleisher, Sandra Familia, Liam Sweeney, Eoghan Sweeney, Michelle Gunn"
83363,450,333,the conjuring,2013,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor",the november man,2014,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Eliza Taylor, Caterina Scorsone, Bill Smitrovich, Will Patton, Amila Terzimehic, Lazar Ristovski, Eliza Taylor-Cotter, Mediha Musliovic, Akie Kotabe, Patrick Kennedy, Dragan Marinkovic, Ben Willens, Milos Timotijevic, Dragan Dvojakovic, Tara Jevrosimovic, Nina Mrda, Nina Mrda, Greg Decuir, Jr., Steven Shapiro, Ben Dimmock, Justin Chapman, Chad King, Masa Dakic, Petar Bencina, Milutin Milosevic, Nina Jankovic, Jadranka Bugarski, Miodrag Stojanovic, Nina Lazarevic, Tijana Plemic, Marko Markovic, Ilija Labalo, Mark Mottram, Yulia Martynyuk"
84055,2177,334,the lorax,2012,"Chris Renaud, Kyle Balda","Zac Efron, Taylor Swift, Danny DeVito, Ed Helms",the giver,2014,Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Katie Holmes, Odeya Rush, Taylor Swift, Cameron Monaghan, Emma Tremblay, Alexander Skarsgård"
84356,2797,334,the bling ring,2013,Sofia Coppola,"Katie Chang, Israel Broussard, Emma Watson, Claire Julien",the giver,2014,Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Katie Holmes, Odeya Rush, Taylor Swift, Cameron Monaghan, Emma Tremblay, Alexander Skarsgård"
84487,1024,334,into the woods,2014,Rob Marshall,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",the giver,2014,Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Katie Holmes, Odeya Rush, Taylor Swift, Cameron Monaghan, Emma Tremblay, Alexander Skarsgård"
84549,1192,334,the giver,2014,Phillip Noyce,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",the giver,2014,Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Katie Holmes, Odeya Rush, Taylor Swift, Cameron Monaghan, Emma Tremblay, Alexander Skarsgård"
84694,1640,334,the signal,2014,William Eubank,"Brenton Thwaites, Olivia Cooke, Beau Knapp, Laurence Fishburne",the giver,2014,Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Katie Holmes, Odeya Rush, Taylor Swift, Cameron Monaghan, Emma Tremblay, Alexander Skarsgård"
84822,2998,335,radius,2017,"Caroline Labrche, Steeve Lonard","Diego Klattenhoff, Charlotte Sullivan, Robert Borges, Andrea del Campo",radius,2017,"Caroline Labrèche, Steeve Léonard","Diego Klattenhoff, Andrea del Campo, Robert Borges, Charlotte Sullivan, Nazariy Demkowicz"
85675,476,337,about time,2013,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson",about time,2013,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Tom Hughes, Margot Robbie, Lydia Wilson, Lindsay Duncan, Tom Hollander, Vanessa Kirby, Joshua McGuire, Richard Cordery, Will Merrick (II), Clemmie Dugdale, Harry Hadden-Paton, Mitchell Mullen, Lisa Eichhorn, Jenny Rainsford, Natasha Powell, Mark Healy, Ben Benson, Philip Voss, Tom Godwin, Pal Aron, Catherine Steadman, Andrew Martin Yates, Verity Fullerton, Veronica Owings, Olivia Konten, Sarah Steinberg Heller, Jaiden, Dervish, Jacob Francis, Jago Freud, Ollie Phillips, Sophie Pond, Sophie Brown, Molly Seymour, Matilda Sturridge, Tom Stourton, Rebecca Chew, Jon West, Graham Richard Howgego, Kerrie Liane Studholme, Ken Hazeldine, Barbar Gough, Jon Boden, Charlie Curtis, Andy Brown"
